~;↷;↶;0 °;2 °;4 °;6 °;8 °;10 °;12 °;14 °;16 °;18 °;20 °;22 °;24 °;26 °;28 °;30 °;32 °;34 °;36 °;38 °;40 °;42 °;44 °;46 °;48 °;50 °;52 °;54 °;56 °;58 °;60 °;62 °;64 °;66 °;68 °;70 °;72 °;74 °;76 °;78 °;80 °;82 °;84 °;86 °;88 °;90 °;↷;↶;
0;0;50;1 1°;3 3°;5 5°;7 7°;8 7°;10 9°;12 12°;14 14°;16 16°;17 17°;19 20°;21 23°;22 24°;23 26°;24 27°;25 29°;26 31°;27 33°;28 36°;29 39°;29 40°;29 42°;29 43°;29 45°;29 48°;29 50°;29 53°;28 54°;27 55°;26 57°;25 59°;24 61°;23 64°;22 66°;21 69°;19 70°;17 71°;16 74°;14 76°;12 78°;10 79°;8 81°;7 85°;5 87°;3 89°;1 90°;0;50
0;1;49;2 1°;4 3°;6 5°;8 7°;9 7°;11 9°;13 12°;15 14°;17 16°;18 17°;20 20°;22 23°;23 24°;24 26°;25 27°;26 29°;27 31°;28 33°;29 36°;30 39°;30 40°;30 42°;30 43°;30 45°;30 48°;30 50°;30 53°;29 54°;28 55°;27 57°;26 59°;25 61°;24 64°;23 66°;22 69°;20 70°;18 71°;17 74°;15 76°;13 78°;11 79°;9 81°;8 85°;6 87°;4 89°;2 90°;1;49
0;2;48;3 1°;5 3°;7 5°;9 7°;10 7°;12 9°;14 12°;16 14°;18 16°;19 17°;21 20°;23 23°;24 24°;25 26°;26 27°;27 29°;28 31°;29 33°;30 36°;31 39°;31 40°;31 42°;31 43°;31 45°;31 48°;31 50°;31 53°;30 54°;29 55°;28 57°;27 59°;26 61°;25 64°;24 66°;23 69°;21 70°;19 71°;18 74°;16 76°;14 78°;12 79°;10 81°;9 85°;7 87°;5 89°;3 90°;2;48
0;3;47;4 1°;6 3°;8 5°;10 7°;11 7°;13 9°;15 12°;17 14°;19 16°;20 17°;22 20°;24 23°;25 24°;26 26°;27 27°;28 29°;29 31°;30 33°;31 36°;32 39°;32 40°;32 42°;32 43°;32 45°;32 48°;32 50°;32 53°;31 54°;30 55°;29 57°;28 59°;27 61°;26 64°;25 66°;24 69°;22 70°;20 71°;19 74°;17 76°;15 78°;13 79°;11 81°;10 85°;8 87°;6 89°;4 90°;3;47
0;4;46;5 1°;7 3°;9 5°;11 7°;12 7°;14 9°;16 12°;18 14°;20 16°;21 17°;23 20°;25 23°;26 24°;27 26°;28 27°;29 29°;30 31°;31 33°;32 36°;33 39°;33 40°;33 42°;33 43°;33 45°;33 48°;33 50°;33 53°;32 54°;31 55°;30 57°;29 59°;28 61°;27 64°;26 66°;25 69°;23 70°;21 71°;20 74°;18 76°;16 78°;14 79°;12 81°;11 85°;9 87°;7 89°;5 90°;4;46
0;5;45;6 1°;8 3°;10 5°;12 7°;13 7°;15 9°;17 12°;19 14°;21 16°;22 17°;24 20°;26 23°;27 24°;28 26°;29 27°;30 29°;31 31°;32 33°;33 36°;34 39°;34 40°;34 42°;34 43°;34 45°;34 48°;34 50°;34 53°;33 54°;32 55°;31 57°;30 59°;29 61°;28 64°;27 66°;26 69°;24 70°;22 71°;21 74°;19 76°;17 78°;15 79°;13 81°;12 85°;10 87°;8 89°;6 90°;5;45
0;6;44;7 1°;9 3°;11 5°;13 7°;14 7°;16 9°;18 12°;20 14°;22 16°;23 17°;25 20°;27 23°;28 24°;29 26°;30 27°;31 29°;32 31°;33 33°;34 36°;35 39°;35 40°;35 42°;35 43°;35 45°;35 48°;35 50°;35 53°;34 54°;33 55°;32 57°;31 59°;30 61°;29 64°;28 66°;27 69°;25 70°;23 71°;22 74°;20 76°;18 78°;16 79°;14 81°;13 85°;11 87°;9 89°;7 90°;6;44
0;7;43;8 1°;10 3°;12 5°;14 7°;15 7°;17 9°;19 12°;21 14°;23 16°;24 17°;26 20°;28 23°;29 24°;30 26°;31 27°;32 29°;33 31°;34 33°;35 36°;36 39°;36 40°;36 42°;36 43°;36 45°;36 48°;36 50°;36 53°;35 54°;34 55°;33 57°;32 59°;31 61°;30 64°;29 66°;28 69°;26 70°;24 71°;23 74°;21 76°;19 78°;17 79°;15 81°;14 85°;12 87°;10 89°;8 90°;7;43
0;8;42;9 1°;11 3°;13 5°;15 7°;16 7°;18 9°;20 12°;22 14°;24 16°;25 17°;27 20°;29 23°;30 24°;31 26°;32 27°;33 29°;34 31°;35 33°;36 36°;37 39°;37 40°;37 42°;37 43°;37 45°;37 48°;37 50°;37 53°;36 54°;35 55°;34 57°;33 59°;32 61°;31 64°;30 66°;29 69°;27 70°;25 71°;24 74°;22 76°;20 78°;18 79°;16 81°;15 85°;13 87°;11 89°;9 90°;8;42
0;9;41;10 1°;12 3°;14 5°;16 7°;17 7°;19 9°;21 12°;23 14°;25 16°;26 17°;28 20°;30 23°;31 24°;32 26°;33 27°;34 29°;35 31°;36 33°;37 36°;38 39°;38 40°;38 42°;38 43°;38 45°;38 48°;38 50°;38 53°;37 54°;36 55°;35 57°;34 59°;33 61°;32 64°;31 66°;30 69°;28 70°;26 71°;25 74°;23 76°;21 78°;19 79°;17 81°;16 85°;14 87°;12 89°;10 90°;9;41
0;10;40;11 1°;13 3°;15 5°;17 7°;18 7°;20 9°;22 12°;24 14°;26 16°;27 17°;29 20°;31 23°;32 24°;33 26°;34 27°;35 29°;36 31°;37 33°;38 36°;39 39°;39 40°;39 42°;39 43°;39 45°;39 48°;39 50°;39 53°;38 54°;37 55°;36 57°;35 59°;34 61°;33 64°;32 66°;31 69°;29 70°;27 71°;26 74°;24 76°;22 78°;20 79°;18 81°;17 85°;15 87°;13 89°;11 90°;10;40
0;11;39;12 1°;14 3°;16 5°;18 7°;19 7°;21 9°;23 12°;25 14°;27 16°;28 17°;30 20°;32 23°;33 24°;34 26°;35 27°;36 29°;37 31°;38 33°;39 36°;40 39°;40 40°;40 42°;40 43°;40 45°;40 48°;40 50°;40 53°;39 54°;38 55°;37 57°;36 59°;35 61°;34 64°;33 66°;32 69°;30 70°;28 71°;27 74°;25 76°;23 78°;21 79°;19 81°;18 85°;16 87°;14 89°;12 90°;11;39
0;12;38;13 1°;15 3°;17 5°;19 7°;20 7°;22 9°;24 12°;26 14°;28 16°;29 17°;31 20°;33 23°;34 24°;35 26°;36 27°;37 29°;38 31°;39 33°;40 36°;41 39°;41 40°;41 42°;41 43°;41 45°;41 48°;41 50°;41 53°;40 54°;39 55°;38 57°;37 59°;36 61°;35 64°;34 66°;33 69°;31 70°;29 71°;28 74°;26 76°;24 78°;22 79°;20 81°;19 85°;17 87°;15 89°;13 90°;12;38
0;13;37;14 1°;16 3°;18 5°;20 7°;21 7°;23 9°;25 12°;27 14°;29 16°;30 17°;32 20°;34 23°;35 24°;36 26°;37 27°;38 29°;39 31°;40 33°;41 36°;42 39°;42 40°;42 42°;42 43°;42 45°;42 48°;42 50°;42 53°;41 54°;40 55°;39 57°;38 59°;37 61°;36 64°;35 66°;34 69°;32 70°;30 71°;29 74°;27 76°;25 78°;23 79°;21 81°;20 85°;18 87°;16 89°;14 90°;13;37
0;14;36;15 1°;17 3°;19 5°;21 7°;22 7°;24 9°;26 12°;28 14°;30 16°;31 17°;33 20°;35 23°;36 24°;37 26°;38 27°;39 29°;40 31°;41 33°;42 36°;43 39°;43 40°;43 42°;43 43°;43 45°;43 48°;43 50°;43 53°;42 54°;41 55°;40 57°;39 59°;38 61°;37 64°;36 66°;35 69°;33 70°;31 71°;30 74°;28 76°;26 78°;24 79°;22 81°;21 85°;19 87°;17 89°;15 90°;14;36
0;15;35;16 1°;18 3°;20 5°;22 7°;23 7°;25 9°;27 12°;29 14°;31 16°;32 17°;34 20°;36 23°;37 24°;38 26°;39 27°;40 29°;41 31°;42 33°;43 36°;44 39°;44 40°;44 42°;44 43°;44 45°;44 48°;44 50°;44 53°;43 54°;42 55°;41 57°;40 59°;39 61°;38 64°;37 66°;36 69°;34 70°;32 71°;31 74°;29 76°;27 78°;25 79°;23 81°;22 85°;20 87°;18 89°;16 90°;15;35
